city,population
100 Mile House,2026
Ashcroft,1703
Atlin,424
Bella Coola,937
Burns Lake,1887
Campbell River,37185
Chetwynd,2647
Chilliwack,97174
Clinton,617
Courtenay,29883
Cranbrook,21882
Creston,5693
Dawson Creek,13220
Dease Lake,54
Duncan,5363
Fernie,5801
Fort Nelson,419
Fort St. James,1700
Fort St. John,22261
Salt Spring Island,11635
Golden,4277
Grand Forks,4316
Hazelton,339
Houston,3197
Invermere,3803
Kamloops,103159
Kaslo,1045
Kelowna,153385
Kitimat,8647
Lillooet,2179
Mackenzie,3592
Maple Ridge,96378
Masset,760
Merritt,7611
Nakusp,1716
Nanaimo,104064
Nelson,11467
Oliver,5619
Penticton,36821
Port Alberni,19526
Port Hardy,4426
Powell River,14148
Prince George,82125
Prince Rupert,13175
Princeton,3237
Queen Charlotte City,1004
Quesnel,10198
Revelstoke,8439
Salmon Arm,20103
Sechelt ,11238
Smithers,5725
Sparwood,4159
Squamish,23652
Stewart,437
Terrace,13384
Trail,8207
Ucluelet,2204
Valemount,1011
Vanderhoof,4719
Vernon,45549
Victoria,96390
Williams Lake,11385
Burnaby,270264
Surrey,633234
Vancouver,706012
